iter	Passed	Remaining
0	1	115
1	1	97
2	2	84
3	3	75
4	3	71
5	4	73
6	5	71
7	5	68
8	6	66
9	7	64
10	8	65
11	8	65
12	9	65
13	10	62
14	10	61
15	11	61
16	12	61
17	13	61
18	14	61
19	15	60
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	49
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
